Kód obce,Obec,ORP,Okres,Kraj,Extent
512745,Těškovice,Opava,Opava,Moravskoslezský kraj,"POLYGON((-492128.03 -1103859.73,-492128.03 -1100662.09,-487287.43 -1100662.09,-487287.43 -1103859.73,-492128.03 -1103859.73))"
550582,Těšovice,Prachatice,Prachatice,Jihočeský kraj,"POLYGON((-789114.03 -1155009.77,-789114.03 -1151328.77,-785334.02 -1151328.77,-785334.02 -1155009.77,-789114.03 -1155009.77))"
579360,Těšovice,Sokolov,Sokolov,Karlovarský kraj,"POLYGON((-865024.71 -1014809.45,-865024.71 -1013397.9,-863411.46 -1013397.9,-863411.46 -1014809.45,-865024.71 -1014809.45))"
583987,Tetčice,Rosice,Brno-venkov,Jihomoravský kraj,"POLYGON((-614886.27 -1166248.14,-614886.27 -1160486.75,-609475.97 -1160486.75,-609475.97 -1166248.14,-614886.27 -1166248.14))"
531839,Tetín,Beroun,Beroun,Středočeský kraj,"POLYGON((-770087.31 -1057898.84,-770087.31 -1053934.45,-765624.67 -1053934.45,-765624.67 -1057898.84,-770087.31 -1057898.84))"
572756,Tetín,Hořice,Jičín,Královéhradecký kraj,"POLYGON((-653383.07 -1018354.01,-653383.07 -1016145.8,-650621.42 -1016145.8,-650621.42 -1018354.01,-653383.07 -1018354.01))"
575810,Tetov,Přelouč,Pardubice,Pardubický kraj,"POLYGON((-673316.64 -1053741.47,-673316.64 -1049997.42,-669185.65 -1049997.42,-669185.65 -1053741.47,-673316.64 -1053741.47))"
599956,Tichá,Frenštát pod Radhoštěm,Nový Jičín,Moravskoslezský kraj,"POLYGON((-480357.27 -1133686.86,-480357.27 -1127463.3,-474995.1 -1127463.3,-474995.1 -1133686.86,-480357.27 -1133686.86))"
530778,Tichonice,Vlašim,Benešov,Středočeský kraj,"POLYGON((-708611.29 -1085408.97,-708611.29 -1080610.01,-705034.26 -1080610.01,-705034.26 -1085408.97,-708611.29 -1085408.97))"
535184,Tichov,Valašské Klobouky,Zlín,Zlínský kraj,"POLYGON((-499890.4 -1173575.29,-499890.4 -1168302.5,-497432.9 -1168302.5,-497432.9 -1173575.29,-499890.4 -1173575.29))"
569615,Tis,Havlíčkův Brod,Havlíčkův Brod,Kraj Vysočina,"POLYGON((-674620.87 -1097231.07,-674620.87 -1090701.79,-669686.28 -1090701.79,-669686.28 -1097231.07,-674620.87 -1097231.07))"
568309,Tisá,Ústí nad Labem,Ústí nad Labem,Ústecký kraj,"POLYGON((-762846.94 -964708.14,-762846.94 -959196.59,-757748.85 -959196.59,-757748.85 -964708.14,-762846.94 -964708.14))"
599964,Tísek,Bílovec,Nový Jičín,Moravskoslezský kraj,"POLYGON((-491579.64 -1106740.78,-491579.64 -1102943.66,-487959.58 -1102943.66,-487959.58 -1106740.78,-491579.64 -1106740.78))"
532592,Tisem,Benešov,Benešov,Středočeský kraj,"POLYGON((-736032.06 -1082683.52,-736032.06 -1080320.45,-733155.65 -1080320.45,-733155.65 -1082683.52,-736032.06 -1082683.52))"
535222,Tišice,Neratovice,Mělník,Středočeský kraj,"POLYGON((-732648.93 -1028185.21,-732648.93 -1021785.41,-728352.59 -1021785.41,-728352.59 -1028185.21,-732648.93 -1028185.21))"
533734,Tismice,Český Brod,Kolín,Středočeský kraj,"POLYGON((-718235.1 -1052531.12,-718235.1 -1048180.6,-714098.33 -1048180.6,-714098.33 -1052531.12,-718235.1 -1052531.12))"
584002,Tišnov,Tišnov,Brno-venkov,Jihomoravský kraj,"POLYGON((-614964.08 -1146867.27,-614964.08 -1137508.46,-604586.56 -1137508.46,-604586.56 -1146867.27,-614964.08 -1146867.27))"
596892,Tišnovská Nová Ves,Tišnov,Brno-venkov,Jihomoravský kraj,"POLYGON((-619724.06 -1138652.77,-619724.06 -1136023.54,-617001.75 -1136023.54,-617001.75 -1138652.77,-619724.06 -1138652.77))"
541621,Tisová,Tachov,Tachov,Plzeňský kraj,"POLYGON((-871220.84 -1062033.69,-871220.84 -1056485.72,-865739.07 -1056485.72,-865739.07 -1062033.69,-871220.84 -1062033.69))"
